bowler,runs_conceded,balls_bowled,overs_bowled,economy_rate
Sohail Tanvir,275,265,44.166666666666664,6.23
A Chandila,245,234,39.0,6.28
FH Edwards,160,150,25.0,6.4
SMSM Senanayake,211,195,32.5,6.49
SM Pollock,307,280,46.666666666666664,6.58
A Kumble,1089,983,163.83333333333334,6.65
GD McGrath,366,329,54.833333333333336,6.67
M Muralitharan,1765,1581,263.5,6.7
IS Sodhi,204,182,30.333333333333332,6.73
J Yadav,447,398,66.33333333333333,6.74
SP Narine,4672,4146,691.0,6.76
DW Steyn,2583,2282,380.3333333333333,6.79
RE van der Merwe,515,455,75.83333333333333,6.79
DL Vettori,894,785,130.83333333333334,6.83
T Thushara,164,144,24.0,6.83
R Rampaul,319,278,46.333333333333336,6.88
Rashid Khan,3340,2901,483.5,6.91
J Botha,818,709,118.16666666666667,6.92
MJ Santner,428,370,61.666666666666664,6.94
R Ashwin,5435,4679,779.8333333333334,6.97
MM Ali,900,770,128.33333333333334,7.01
SL Malinga,3486,2974,495.6666666666667,7.03
Harbhajan Singh,4101,3496,582.6666666666666,7.04
R Sharma,1100,935,155.83333333333334,7.06
AD Mascarenhas,365,310,51.666666666666664,7.06
SE Bond,225,191,31.833333333333332,7.07
DP Nannes,815,689,114.83333333333333,7.1
DE Bollinger,716,600,100.0,7.16
Iqbal Abdulla,1125,943,157.16666666666666,7.16
AG Murtaza,322,269,44.833333333333336,7.18
SK Warne,1465,1223,203.83333333333334,7.19
M Kartik,1418,1182,197.0,7.2
JJ Bumrah,3840,3185,530.8333333333334,7.23
CK Langeveldt,199,165,27.5,7.24
M Ntini,257,213,35.5,7.24
MF Maharoof,532,441,73.5,7.24
Ankit Sharma,453,375,62.5,7.25
JP Duminy,847,701,116.83333333333333,7.25
KH Pandya,2644,2183,363.8333333333333,7.27
KP Pietersen,218,180,30.0,7.27
AR Patel,3824,3152,525.3333333333334,7.28
RR Powar,538,443,73.83333333333333,7.29
A Mishra,4193,3444,574.0,7.3
YK Pathan,1443,1184,197.33333333333334,7.31
SK Raina,1139,930,155.0,7.35
M Pathirana,617,503,83.83333333333333,7.36
JC Archer,1210,987,164.5,7.36
CRD Fernando,306,249,41.5,7.37
Shakib Al Hasan,1864,1515,252.5,7.38
B Lee,1126,916,152.66666666666666,7.38
BAW Mendis,306,248,41.333333333333336,7.4
PP Ojha,2399,1945,324.1666666666667,7.4
Yuvraj Singh,1091,882,147.0,7.42
S Randiv,223,180,30.0,7.43
R Bhatia,2059,1661,276.8333333333333,7.44
B Kumar,5051,4060,676.6666666666666,7.46
S Nadeem,1800,1444,240.66666666666666,7.48
STR Binny,763,611,101.83333333333333,7.49
SK Trivedi,1944,1557,259.5,7.49
SB Styris,278,222,37.0,7.51
SW Tait,668,534,89.0,7.51
S Badree,329,263,43.833333333333336,7.51
MM Patel,1733,1382,230.33333333333334,7.52
DJ Willey,277,221,36.833333333333336,7.52
GB Hogg,585,466,77.66666666666667,7.53
RJ Harris,1085,865,144.16666666666666,7.53
Washington Sundar,1335,1064,177.33333333333334,7.53
Z Khan,2860,2276,379.3333333333333,7.54
CV Varun,2042,1624,270.6666666666667,7.54
M Morkel,2136,1699,283.1666666666667,7.54
Mohammad Nabi,527,419,69.83333333333333,7.55
RA Jadeja,4917,3895,649.1666666666666,7.57
NM Coulter-Nile,1125,892,148.66666666666666,7.57
VS Malik,268,212,35.333333333333336,7.58
WPUJC Vaas,364,288,48.0,7.58
P Kumar,3342,2637,439.5,7.6
AC Thomas,416,327,54.5,7.63
Anand Rajan,206,162,27.0,7.63
B Akhil,246,193,32.166666666666664,7.65
BW Hilfenhaus,497,390,65.0,7.65
RD Chahar,2165,1697,282.8333333333333,7.65
Ravi Bishnoi,1861,1460,243.33333333333334,7.65
WD Parnell,968,758,126.33333333333333,7.66
Azhar Mahmood,707,552,92.0,7.68
Shahid Afridi,237,185,30.833333333333332,7.69
IK Pathan,2711,2113,352.1666666666667,7.7
SR Watson,2742,2137,356.1666666666667,7.7
PV Tambe,866,674,112.33333333333333,7.71
A Nehra,2537,1974,329.0,7.71
DL Chahar,2243,1746,291.0,7.71
A Symonds,694,540,90.0,7.71
Sandeep Sharma,3758,2925,487.5,7.71
R Tewatia,1117,866,144.33333333333334,7.74
YS Chahal,4681,3628,604.6666666666666,7.74
RP Singh,2417,1874,312.3333333333333,7.74
M Theekshana,814,631,105.16666666666667,7.74
S Sreesanth,1221,947,157.83333333333334,7.74
DP Vijaykumar,205,159,26.5,7.74
Imran Tahir,1729,1340,223.33333333333334,7.74
CH Gayle,755,584,97.33333333333333,7.76
Umar Gul,198,153,25.5,7.76
IC Pandey,609,469,78.16666666666667,7.79
Harmeet Singh,747,574,95.66666666666667,7.81
P Negi,954,733,122.16666666666667,7.81
MN Samuels,285,219,36.5,7.81
JD Ryder,314,241,40.166666666666664,7.82
TL Suman,198,152,25.333333333333332,7.82
BJ Hodge,310,238,39.666666666666664,7.82
JH Kallis,2348,1799,299.8333333333333,7.83
Harpreet Brar,907,692,115.33333333333333,7.86
KP Appanna,291,222,37.0,7.86
Noor Ahmad,672,513,85.5,7.86
AM Salvi,205,156,26.0,7.88
ST Jayasuriya,396,301,50.166666666666664,7.89
KK Cooper,789,600,100.0,7.89
A Singh,639,486,81.0,7.89
M Ashwin,1182,898,149.66666666666666,7.9
CH Morris,2377,1801,300.1666666666667,7.92
A Zampa,562,425,70.83333333333333,7.93
SC Ganguly,370,280,46.666666666666664,7.93
DT Christian,1218,922,153.66666666666666,7.93
AB Dinda,2103,1589,264.8333333333333,7.94
RG Sharma,462,349,58.166666666666664,7.94
J Theron,311,235,39.166666666666664,7.94
Mujeeb Ur Rahman,598,452,75.33333333333333,7.94
