batter,total_runs,balls_faced,strike_rate
PD Salt,653,385,169.61
T Stubbs,405,239,169.46
TM Head,772,458,168.56
AD Russell,2488,1515,164.22
H Klaasen,993,613,161.99
TH David,659,417,158.03
SP Narine,1534,984,155.89
Shashank Singh,423,272,155.51
N Pooran,1769,1143,154.77
LS Livingstone,939,609,154.19
Rashid Khan,545,355,153.52
GJ Maxwell,2772,1842,150.49
C Green,707,472,149.79
CH Morris,618,413,149.64
RM Patidar,799,534,149.63
Abhishek Sharma,1377,925,148.86
V Sehwag,2728,1833,148.83
AB de Villiers,5181,3487,148.58
Abishek Porel,360,244,147.54
RR Rossouw,473,321,147.35
YBK Jaiswal,1607,1095,146.76
Dhruv Jurel,347,237,146.41
JM Sharma,730,501,145.71
SO Hetmyer,1243,854,145.55
RR Pant,3297,2296,143.6
PJ Cummins,515,359,143.45
PP Shaw,1892,1321,143.22
P Simran Singh,756,528,143.18
SA Yadav,3594,2522,142.51
JC Buttler,3583,2519,142.24
CH Gayle,4997,3516,142.12
Abdul Samad,579,408,141.91
R Powell,360,254,141.73
KA Pollard,3437,2447,140.46
JM Bairstow,1589,1132,140.37
HH Pandya,2534,1814,139.69
S Dube,1502,1077,139.46
Tilak Varma,1156,830,139.28
DP Conway,924,669,138.12
YK Pathan,3222,2334,138.05
HM Amla,577,418,138.04
PBB Rajapaksa,277,201,137.81
KR Mayers,379,276,137.32
Nithish Kumar Reddy,303,221,137.1
RN ten Doeschate,326,238,136.97
JA Morkel,975,712,136.94
MM Ali,1162,849,136.87
MP Stoinis,1866,1366,136.6
RK Singh,893,654,136.54
CA Lynn,1329,974,136.45
RA Tripathi,2236,1650,135.52
MK Lomror,527,389,135.48
DA Warner,6567,4849,135.43
SV Samson,4419,3270,135.14
DA Miller,2924,2171,134.68
SN Thakur,307,228,134.65
B Sai Sudharsan,1034,770,134.29
SR Watson,3880,2892,134.16
N Wadhera,350,261,134.1
ST Jayasuriya,768,573,134.03
M Shahrukh Khan,553,413,133.9
RD Gaikwad,2380,1781,133.63
JJ Roy,614,460,133.48
F du Plessis,4571,3435,133.07
AC Gilchrist,2069,1555,133.05
MS Dhoni,5243,3947,132.84
JR Hopes,417,314,132.8
Ishan Kishan,2644,1991,132.8
VR Iyer,1326,1000,132.6
SK Raina,5536,4177,132.54
C de Grandhomme,303,229,132.31
DR Smith,2385,1803,132.28
Shubman Gill,3216,2432,132.24
KP Pietersen,1001,758,132.06
ML Hayden,1107,839,131.94
KD Karthik,4843,3687,131.35
SM Curran,883,673,131.2
Q de Kock,3160,2410,131.12
E Lewis,654,499,131.06
KL Rahul,4689,3578,131.05
Harbhajan Singh,833,636,130.97
N Rana,2636,2015,130.82
BA Stokes,935,718,130.22
SE Marsh,2489,1913,130.11
NLTC Perera,424,326,130.06
JP Faulkner,527,406,129.8
JD Ryder,604,466,129.61
R Parag,1173,909,129.04
R Tewatia,1013,788,128.55
V Kohli,8014,6236,128.51
SN Khan,585,456,128.29
MA Agarwal,2669,2081,128.26
DJ Mitchell,351,274,128.1
KH Pandya,1647,1287,127.97
RG Sharma,6630,5183,127.92
BB McCullum,2882,2272,126.85
Rahmanullah Gurbaz,289,228,126.75
AK Markram,995,787,126.43
RV Uthappa,4954,3927,126.15
SW Billings,503,399,126.07
STR Binny,880,700,125.71
A Badoni,634,505,125.54
KK Nair,1496,1192,125.5
M Vohra,1083,863,125.49
CL White,971,774,125.45
AR Patel,1653,1318,125.42
DJ Hooda,1466,1170,125.3
V Shankar,1115,890,125.28
DJ Bravo,1560,1247,125.1
MR Marsh,665,532,125.0
OA Shah,506,405,124.94
MC Henriques,1000,801,124.84
SPD Smith,2495,1999,124.81
Yuvraj Singh,2754,2207,124.78
Azhar Mahmood,388,311,124.76
A Symonds,974,781,124.71
AT Rayudu,4348,3490,124.58
RA Jadeja,2959,2378,124.43
MV Boucher,394,318,123.9
WP Saha,2934,2368,123.9
S Dhawan,6769,5483,123.45
CJ Anderson,538,436,123.39
AJ Finch,2092,1696,123.35
SS Iyer,3131,2545,123.03
KS Williamson,2132,1734,122.95
LMP Simmons,1079,878,122.89
BJ Hodge,1400,1153,121.42
P Negi,365,301,121.26
AD Mathews,724,599,120.87
JP Duminy,2029,1680,120.77
LA Pomersbach,302,251,120.32
AM Rahane,4642,3858,120.32
Mandeep Singh,1706,1418,120.31
SA Asnodkar,423,352,120.17
GJ Bailey,663,552,120.11
DJ Hussey,1322,1101,120.07
LRPL Taylor,1017,847,120.07
MEK Hussey,1977,1648,119.96
G Gambhir,4217,3524,119.67
Shakib Al Hasan,795,665,119.55
KM Jadhav,1208,1012,119.37
JO Holder,259,217,119.35
EJG Morgan,1406,1181,119.05
AP Tare,339,285,118.95
DPMD Jayawardene,1808,1522,118.79
M Vijay,2619,2208,118.61
KC Sangakkara,1687,1424,118.47
S Sohal,368,311,118.33
R Bhatia,342,290,117.93
D Padikkal,1559,1323,117.84
DJG Sammy,295,251,117.53
MK Pandey,3859,3288,117.37
Gurkeerat Singh,511,436,117.2
PC Valthaty,505,432,116.9
IK Pathan,1150,985,116.75
PA Patel,2848,2442,116.63
HV Patel,249,214,116.36
Harpreet Brar,233,201,115.92
S Badrinath,1441,1245,115.74
SS Tiwary,1494,1291,115.72
DB Ravi Teja,375,325,115.38
Anuj Rawat,318,276,115.22
TL Suman,676,587,115.16
Shahbaz Ahmed,536,467,114.78
KV Sharma,351,306,114.71
R Ashwin,800,698,114.61
R Sathish,270,236,114.41
AM Nayar,672,588,114.29
NV Ojha,1554,1360,114.26
SR Tendulkar,2334,2044,114.19
Y Venugopal Rao,985,865,113.87
DB Das,304,267,113.86
MK Tiwary,1695,1489,113.83
RS Bopara,531,468,113.46
R Dravid,2174,1918,113.35
LR Shukla,405,358,113.13
DT Christian,460,408,112.75
J Botha,409,364,112.36
MD Mishra,237,213,111.27
Washington Sundar,378,341,110.85
PK Garg,273,247,110.53
TM Dilshan,1153,1047,110.12
B Chipli,280,256,109.38
AL Menaria,401,367,109.26
MS Bisla,798,737,108.28
PP Chawla,624,580,107.59
R Vinay Kumar,310,289,107.27
GC Smith,739,691,106.95
JH Kallis,2427,2291,105.94
HH Gibbs,886,837,105.85
JEC Franklin,327,309,105.83
M Manhas,514,486,105.76
P Kumar,340,323,105.26
Y Nagar,285,271,105.17
VVS Laxman,282,271,104.06
SC Ganguly,1349,1326,101.73
Lalit Yadav,305,301,101.33
M Kaif,259,258,100.39
AA Jhunjhunwala,217,218,99.54
K Rabada,206,207,99.52
UT Yadav,208,211,98.58
CA Pujara,390,403,96.77
UBT Chand,300,314,95.54
SP Goswami,293,307,95.44
K Goel,218,239,91.21
B Kumar,306,338,90.53
SK Warne,198,219,90.41
A Mishra,381,440,86.59
GH Vihari,284,331,85.8
Kuldeep Yadav,183,224,81.7
